domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,emma_bovary,emma_bovary,1,12,0,0.066259,0.0,0.0681196451187128,0.0,12,0,1,,1,0,,,0,0.0,0.0,0.4687,1.75,add_author,0,1,0.0,51,0,0.066259,0.0
books,emma_bovary,frodo_baggins,0,50,11,0.15069,0.080611,0.1510797142982461,0.0837748646736137,50,11,0,,0,0,,,1,9.3906,0.0,-0.5625,0.9167,add_book,0,0,22.3203,172,34,0.15069,0.080611
books,emma_bovary,gregor_samsa,0,50,4,0.15069,0.027791,0.1510797142982461,0.032445430755615005,50,4,0,,0,0,,,1,5.8594,0.0,-3.5,-1.9583,add_book,0,0,7.625,172,20,0.15069,0.027791
books,emma_bovary,huckleberry_finn,0,337,234,0.372689,0.303928,0.3413152098655536,0.3040604293346292,337,234,0,,0,0,,,1,0.4531,0.0,-2.25,-1.2917,add_character_book_author,0,0,29.0,403,305,0.372689,0.303928
books,emma_bovary,jay_gatsby,0,54,13,0.15574,0.110476,0.15641087293624642,0.11128696799278187,54,13,0,,0,0,,,0,10.0313,0.0,2.0,2.7917,add_character,0,1,24.9844,180,76,0.15574,0.110476
books,emma_bovary,jean_valjean,0,50,6,0.15069,0.047902,0.1510797142982461,0.048280835151671996,50,6,0,,0,0,,,1,8.832,0.0,0.125,2.0833,add_book,0,1,4.75,172,26,0.15069,0.047902
books,emma_bovary,katniss_everdeen,0,50,6,0.15069,0.055459,0.1510797142982461,0.0586977005004881,50,6,0,,0,0,,,1,15.9141,0.0,2.875,4.1458,add_book,0,1,25.2188,172,20,0.15069,0.055459
books,emma_bovary,raskolnikov,0,54,6,0.15574,0.050772,0.15641087293624642,0.0520656108856197,54,6,0,,0,0,,,1,2.4532,0.0,-2.375,-1.5417,add_character,0,0,18.9375,180,79,0.15574,0.050772
books,emma_bovary,winston_smith,0,50,7,0.15069,0.066463,0.1510797142982461,0.0732764005661008,50,7,0,,0,0,,,1,23.9297,0.0,11.5,11.9583,add_book,0,0,20.5312,172,19,0.15069,0.066463
books,frodo_baggins,atticus_finch,0,24,19,0.134719,0.108991,0.13677307963371124,0.11148107051849247,24,19,0,,0,0,,,1,17.8594,0.0,0.875,1.8125,add_book_author,0,1,20.4395,74,68,0.134719,0.108991
